network,station,startdate,latitude,longitude,datetime_start
KS,GAHA,12/26/25,37.48293,127.40422,2025-12-26
KS,GAPB,9/30/15,37.8442,127.4949,2015-09-30
KS,GASA,12/26/25,36.095531,128.500099,2025-12-26
KS,GBI2,3/18/19,36.6255,125.559515,2019-03-18
KS,GCAA,12/26/25,35.796659,128.62323,2025-12-26
KS,GDDB,12/16/16,34.9931,128.8313,2016-12-16
KS,GDS5,2/20/20,37.7753,126.2284,2020-02-20
KS,GEJA,11/29/22,34.998401,128.679686,2022-11-29
KS,GEJB,3/9/18,38.4165,128.3858,2018-03-09
KS,GESA,12/26/25,37.420238,127.529107,2025-12-26
KS,GGDA,3/9/18,35.9499,129.2531,2018-03-09
KS,GGDB,9/30/15,34.052191,125.126362,2015-09-30
KS,GGGA,3/9/18,36.3637,129.3908,2018-03-09
KS,GGSA,3/18/19,36.9295,129.1518,2019-03-18
KS,GGTA,3/18/19,37.7686,126.8991,2019-03-18
KS,GH2B,3/18/19,37.7076,126.4464,2019-03-18
KS,GIAA,12/23/24,36.3644,128.9312,2024-12-23
KS,GICA,3/18/19,36.0812,128.1016,2019-03-18
KS,GIGA,3/9/18,36.0689,129.1996,2018-03-09
KS,GIHA,12/26/25,35.330572,128.847063,2025-12-26
KS,GIJA,11/29/22,35.796622,126.902045,2022-11-29
KS,GJAA,11/16/23,35.3095,129.1996,2023-11-16
KS,GKSA,3/18/19,35.2304,127.2252,2019-03-18
KS,GLCA,3/18/19,37.9049,128.5207,2019-03-18
KS,GLSA,3/18/19,36.5255,126.545,2019-03-18
KS,GMDB,9/30/15,34.0408,127.2882,2015-09-30
KS,GMHB,3/9/18,38.25,127.421,2018-03-09
KS,GMPB,3/9/18,37.6421,126.6756,2018-03-09
KS,GNAA,11/16/23,37.8888,127.2168,2023-11-16
KS,GOBA,11/29/22,36.657064,126.544051,2022-11-29
KS,GOCB,12/31/12,35.3484,126.5982,2012-12-31
KS,GOEA,12/26/25,35.379195,126.515957,2025-12-26
KS,GORA,12/26/25,35.695956,128.282102,2025-12-26
KS,GOSA,12/23/24,36.27732,128.09343,2024-12-23
KS,GOSF,8/5/22,33.302741,126.182302,2022-08-05
KS,GOYA,12/23/24,37.70235,126.79019,2024-12-23
KS,GSAA,12/26/25,36.659415,127.873505,2025-12-26
KS,GSEA,12/26/25,38.375305,128.460044,2025-12-26
KS,GSGA,3/18/19,37.5516,126.8443,2019-03-18
KS,GSNA,3/9/18,35.7576,129.0109,2018-03-09
KS,GUJA,3/18/19,33.5504,126.7503,2019-03-18
KS,GUMA,3/18/19,36.2347,128.2902,2019-03-18
KS,GUNA,11/16/23,35.2194,126.4429,2023-11-16
KS,GURA,12/23/24,35.20802,127.49357,2024-12-23
KS,GUWB,12/16/16,36.18242,128.5932,2016-12-16
KS,GWHA,12/23/24,35.83556,126.74139,2024-12-23
KS,GWJA,11/16/23,35.1728,126.8916,2023-11-16
KS,GWLA,3/18/19,37.2195,128.8212,2019-03-18
KS,GWYB,12/31/12,34.9433,127.6914,2012-12-31
KS,GYRA,12/23/24,36.32508,127.23057,2024-12-23
KS,HA2B,12/24/20,33.3925,126.2582,2020-12-24
KS,HAAA,12/23/24,38.25228,128.11281,2024-12-23
KS,HABA,11/16/23,35.9062,128.4463,2023-11-16
KS,HACA,9/30/15,35.4135,128.1016,2015-09-30
KS,HAIA,3/9/18,34.9444,128.1928,2018-03-09
KS,HAMA,11/16/23,35.266,128.348,2023-11-16
KS,HAMB,11/2/12,35.5116,127.7457,2012-11-02
KS,HANB,9/30/15,34.554,126.5688,2015-09-30
KS,HAWA,3/9/18,34.671,126.3283,2018-03-09
KS,HAWB,12/25/12,37.0844,126.7739,2012-12-25
KS,HCNA,5/31/16,35.5652,128.17,2016-05-31
KS,HEDA,3/18/19,34.6064,126.0365,2019-03-18
KS,HESA,3/18/19,37.5406,127.9565,2019-03-18
KS,HGDB,3/9/18,34.7068,125.2012,2018-03-09
KS,HGSA,3/18/19,36.6579,126.6879,2019-03-18
KS,HLCE,11/14/23,33.3614,126.53593,2023-11-14
KS,HLEE,12/23/24,33.33145,126.67837,2024-12-23
KS,HLNE,12/23/24,33.4253,126.61127,2024-12-23
KS,HLSE,12/23/24,33.29555,126.42057,2024-12-23
KS,HLWE,12/23/24,33.40812,126.47568,2024-12-23
KS,HMGA,3/9/18,36.0761,129.5666,2018-03-09
KS,HMPA,3/9/18,35.1413,126.6176,2018-03-09
KS,HOAA,11/16/23,36.9603,127.9116,2023-11-16
KS,HOCA,12/16/16,37.6838,127.8801,2016-12-16
KS,HONA,3/18/19,36.4457,127.5791,2019-03-18
KS,HSJB,11/22/21,36.5668,127.2804,2021-11-22
KS,HTDA,3/18/19,34.3908,125.2986,2019-03-18
KS,HWCA,9/30/15,38.065,127.7746,2015-09-30
KS,HWDB,3/18/19,37.6322,127.3404,2019-03-18
KS,HWJA,12/26/25,34.778251,127.641717,2025-12-26
KS,HWSA,3/18/19,36.4412,127.9441,2019-03-18
KS,HYDA,11/29/22,36.283577,129.019264,2022-11-29
KS,HYNA,12/26/25,38.483878,128.433742,2025-12-26
KS,ICN2,12/16/16,37.2908,127.4167,2016-12-16
KS,IJAA,9/30/15,37.9471,128.3248,2015-09-30
KS,IJBA,3/9/18,38.1208,128.3173,2018-03-09
KS,IJDB,3/18/19,35.1028,126.0651,2019-03-18
KS,IJS4,12/28/20,38.326,128.2038,2020-12-28
KS,IKSA,9/30/15,36.0592,127.0619,2015-09-30
KS,IKSB,3/10/23,35.9355,126.9747,2023-03-10
KS,IMAX,12/23/24,35.10516,126.86746,2024-12-23
KS,IMSB,3/18/19,35.6124,127.2854,2019-03-18
KS,IMWB,12/23/12,37.2379,129.3421,2012-12-23
KS,INCA,5/31/16,37.4777,126.624,2016-05-31
KS,INJA,11/22/21,36.993,126.918474,2021-11-22
KS,IPTA,11/22/21,36.996887,127.135381,2021-11-22
KS,ISHB,11/22/21,37.348832,126.70386,2021-11-22
KS,IYIB,12/23/21,37.2708,127.2317,2021-12-23
KS,IYPA,11/22/21,37.491441,127.521814,2021-11-22
KS,JAEA,3/18/19,36.8,128.9903,2019-03-18
KS,JAEB,11/29/22,34.879054,126.028758,2022-11-29
KS,JAGA,3/18/19,35.3196,126.8107,2019-03-18
KS,JAHA,12/16/16,34.689,126.9194,2016-12-16
KS,JAJA,12/26/25,35.974346,127.436042,2025-12-26
KS,JAPA,12/23/24,34.7729,126.97573,2024-12-23
KS,JASA,12/16/16,35.6571,127.5204,2016-12-16
KS,JCUA,3/18/19,37.2753,128.2694,2019-03-18
KS,JDGB,11/22/21,37.690417,128.674248,2021-11-22
KS,JDO2,3/18/19,34.473,126.3238,2019-03-18
KS,JEAA,12/23/24,36.55106,127.09374,2024-12-23
KS,JECB,9/30/15,37.1595,128.1945,2015-09-30
KS,JEDA,11/29/22,35.001844,126.101988,2022-11-29
KS,JEGA,11/16/23,38.0262,127.0616,2023-11-16
KS,JEJB,12/16/16,35.6374,129.4411,2016-12-16
KS,JEMA,12/26/25,37.980211,127.446451,2025-12-26
KS,JESA,3/9/18,37.4303,128.6653,2018-03-09
KS,JEU2,12/16/16,35.49345,126.929807,2016-12-16
KS,JGJA,11/22/21,37.704719,128.913415,2021-11-22
KS,JGNA,3/18/19,35.8754,128.0485,2019-03-18
KS,JHCB,11/22/21,38.232183,127.688756,2021-11-22
KS,JHWA,12/23/24,37.12094,127.61052,2024-12-23
KS,JIBA,12/26/25,35.126333,128.474789,2025-12-26
KS,JICA,12/23/24,36.91011,127.50547,2024-12-23
KS,JIDA,12/23/24,36.41794,127.47803,2024-12-23
KS,JINA,5/31/16,35.1642,128.0402,2016-05-31
KS,JIPA,12/26/25,37.430103,127.664218,2025-12-26
KS,JJBA,11/22/21,37.647925,128.564524,2021-11-22
KS,JJU2,12/16/16,33.4305,126.5463,2016-12-16
KS,JKJA,3/18/19,36.2421,129.2151,2019-03-18
KS,JLSA,3/18/19,35.3574,127.648,2019-03-18
KS,JMJ2,3/18/19,37.8816,128.7561,2019-03-18
KS,JNHA,3/9/18,35.1121,128.7536,2018-03-09
KS,JNPA,9/30/15,36.7956,127.5621,2015-09-30
KS,JNUA,3/18/19,36.6908,127.2005,2019-03-18
KS,JNYA,3/9/18,35.2822,128.7175,2018-03-09
KS,JODB,3/9/18,34.3115,126.0437,2018-03-09
KS,JOGB,11/22/21,37.621027,128.980129,2021-11-22
KS,JSAA,12/23/24,36.38619,126.95642,2024-12-23
KS,JSTB,7/7/21,37.19218,128.66809,2021-07-07
KS,JUCA,3/9/18,35.2423,128.828,2018-03-09
KS,JUGA,12/23/24,34.9905,128.33091,2024-12-23
KS,JURA,3/9/18,37.6147,127.0868,2018-03-09
KS,JWJB,11/22/21,37.415544,128.050498,2021-11-22
KS,KAWA,12/16/16,37.8052,128.8548,2016-12-16
KS,KCH2,5/31/16,35.614,127.9188,2016-05-31
KS,KESB,11/22/21,36.953658,127.604785,2021-11-22
KS,KH2B,3/18/20,34.6185,127.2757,2020-03-18
KS,KKDA,3/18/19,34.4557,127.1222,2019-03-18
KS,KMSB,3/18/19,36.1059,127.4816,2019-03-18
KS,KOSB,3/9/18,38.6028,128.3595,2018-03-09
KS,KWJ2,9/30/15,35.1599,126.9911,2015-09-30
KS,KWJU,9/30/15,35.1599,126.9911,2015-09-30
KS,LIWA,3/18/19,36.2482,127.6137,2019-03-18
KS,LMGA,3/18/19,37.4918,128.8637,2019-03-18
KS,MALA,3/9/18,35.7445,127.3477,2018-03-09
KS,MANA,3/18/19,35.0941,126.285,2019-03-18
KS,MGY2,12/16/16,36.6552,128.0608,2016-12-16
KS,MIAA,12/26/25,34.700447,126.574064,2025-12-26
KS,MITA,12/26/25,37.349717,128.48717,2025-12-26
KS,MJDB,3/18/19,34.2074,125.469,2019-03-18
KS,MLGA,3/9/18,35.3113,128.997,2018-03-09
KS,MMD,3/9/18,34.6488,128.5769,2018-03-09
KS,MND,9/30/15,35.8043,126.4242,2015-09-30
KS,MNDB,3/18/19,34.9665,127.1609,2019-03-18
KS,MOGA,3/18/19,37.6962,127.5825,2019-03-18
KS,MOHA,12/23/24,37.31217,127.26929,2024-12-23
KS,MOPB,3/9/18,34.8173,126.3812,2018-03-09
KS,MSMB,11/22/21,35.689173,126.556217,2021-11-22
KS,MSNA,3/9/18,35.5884,128.9539,2018-03-09
KS,MUS2,12/16/16,37.8862,126.7656,2016-12-16
KS,MYMA,12/26/25,35.477819,128.654012,2025-12-26
KS,NACA,3/9/18,35.9505,126.591,2018-03-09
KS,NAHA,3/9/18,34.8167,127.9261,2018-03-09
KS,NAJA,3/9/18,35.0261,126.8264,2018-03-09
KS,NAMB,3/9/18,37.7711,128.3863,2018-03-09
KS,NARA,11/16/23,36.2494,128.5558,2023-11-16
KS,NASA,12/26/25,36.288211,126.743762,2025-12-26
KS,NAWB,12/20/12,35.4212,127.3963,2012-12-20
KS,NAYA,12/23/24,37.20043,126.83133,2024-12-23
KS,NCNA,3/9/18,37.8197,128.0919,2018-03-09
KS,NCS4,10/5/22,38.233306,127.369401,2022-10-05
KS,NGJA,11/22/21,34.644516,126.784051,2021-11-22
KS,NHPA,11/22/21,35.060394,126.527374,2021-11-22
KS,NHSB,11/22/21,34.687072,125.450413,2021-11-22
KS,NJDA,3/9/18,37.0503,126.4221,2018-03-09
KS,NLDA,3/9/18,34.5326,127.4673,2018-03-09
KS,NOGA,12/23/24,37.28545,129.18303,2024-12-23
KS,NOSA,3/18/19,36.2836,127.1272,2019-03-18
KS,NPGA,11/22/21,34.786946,126.147751,2021-11-22
KS,NSAA,12/26/25,36.212541,127.309583,2025-12-26
KS,NSJA,11/22/21,34.381934,126.515861,2021-11-22
KS,NYSA,11/22/21,34.378096,126.88675,2021-11-22
KS,OADB,11/22/21,36.524538,128.831413,2021-11-22
KS,OCHX,12/23/24,36.72258,127.4401,2024-12-23
KS,OECA,12/26/25,38.27722,127.205655,2025-12-26
KS,OGSB,11/22/21,35.7685,128.8971,2021-11-22
KS,OHBA,11/22/21,36.138884,128.994749,2021-11-22
KS,OJSA,11/22/21,36.786901,128.571418,2021-11-22
KS,OKCB,12/5/12,36.3463,127.7941,2012-12-05
KS,OKPA,11/16/23,35.8028,128.4456,2023-11-16
KS,OOJB,11/22/21,36.701999,129.408396,2021-11-22
KS,OPHB,11/22/21,36.190497,129.339183,2021-11-22
KS,OPSA,11/22/21,36.580989,128.560634,2021-11-22
KS,OSBA,11/22/21,36.276214,128.466333,2021-11-22
KS,OSMA,11/16/23,36.7574,129.3402,2023-11-16
KS,OUJA,11/22/21,37.11573,129.370242,2021-11-22
KS,OWSA,11/22/21,35.863047,129.209289,2021-11-22
KS,OYDB,9/30/15,36.2292,126.07583,2015-09-30
KS,PAJA,12/26/25,37.958615,126.91927,2025-12-26
KS,PCIA,12/26/25,38.02381,127.36813,2025-12-26
KS,PGEA,3/18/19,36.7559,128.692,2019-03-18
KS,PHDA,11/22/21,35.1287,127.745,2021-11-22
KS,PMYA,11/22/21,35.501783,128.760554,2021-11-22
KS,PORA,12/31/12,36.3278,126.5575,2012-12-31
KS,PTYC,11/22/21,34.85075,128.4375733,2021-11-22
KS,PUAA,5/31/16,35.7295,126.7167,2016-05-31
KS,PUYA,11/29/22,36.56179,128.306132,2022-11-29
KS,PYCB,3/18/19,37.3774,128.3946,2019-03-18
KS,PYS6,2/20/20,37.8396,126.8121,2020-02-20
KS,PYSB,3/18/19,33.3536,126.8167,2019-03-18
KS,SABA,12/23/24,35.87739,128.74883,2024-12-23
KS,SACA,12/16/16,35.4131,127.8789,2016-12-16
KS,SADA,12/26/25,36.636965,127.655842,2025-12-26
KS,SAHX,11/16/23,35.09,128.9839,2023-11-16
KS,SAIA,12/23/24,35.26293,128.44695,2024-12-23
KS,SAJB,3/18/19,36.4079,128.1575,2019-03-18
KS,SARA,11/16/23,37.301,126.8222,2023-11-16
KS,SCHA,5/31/16,35.0199,127.3692,2016-05-31
KS,SCYA,12/26/25,35.037004,128.06778,2025-12-26
KS,SDOA,12/26/25,37.599932,127.843113,2025-12-26
KS,SECA,3/9/18,36.142,126.7519,2018-03-09
KS,SEHA,11/16/23,36.3401,127.4937,2023-11-16
KS,SEJA,11/29/22,35.947423,128.21703,2022-11-29
KS,SENA,11/29/22,35.538485,126.742386,2022-11-29
KS,SEO3,3/18/20,37.4939,126.917,2020-03-18
KS,SESA,3/18/19,37.7196,128.1735,2019-03-18
KS,SESB,11/29/22,36.776666,126.493851,2022-11-29
KS,SGMA,3/9/18,37.8282,127.288,2018-03-09
KS,SGNA,3/18/19,37.4461,127.1832,2019-03-18
KS,SGP2,12/16/16,33.2587,126.4993,2016-12-16
KS,SH2B,3/18/19,38.2685,128.2524,2019-03-18
KS,SHOA,12/23/24,37.4828,127.029,2024-12-23
KS,SIDA,12/23/24,35.67362,127.14138,2024-12-23
KS,SIJA,3/18/19,34.8954,126.588,2019-03-18
KS,SINA,12/26/25,36.981768,127.754619,2025-12-26
KS,SINX,12/26/25,38.19488,127.10695,2025-12-26
KS,SKBA,3/18/19,36.521,129.1791,2019-03-18
KS,SKC2,5/31/16,38.2898,128.5219,2016-05-31
KS,SLSA,3/18/19,37.1349,127.5196,2019-03-18
KS,SMWA,1/22/18,35.5259,126.5522,2018-01-22
KS,SNDA,3/18/19,37.2617,128.5956,2019-03-18
KS,SNGB,3/9/18,37.3465,129.0865,2018-03-09
KS,SNNA,3/18/19,36.0502,128.7111,2019-03-18
KS,SNWA,11/29/22,33.279813,126.705114,2022-11-29
KS,SODA,3/9/18,37.5714,126.9661,2018-03-09
KS,SOSA,11/16/23,36.8566,127.7433,2023-11-16
KS,SRGA,11/16/23,35.4539,128.8086,2023-11-16
KS,SUBA,3/9/18,36.7826,129.2211,2018-03-09
KS,SUCA,11/25/12,35.3736,127.1386,2012-11-25
KS,SWO2,3/9/18,37.2808,126.9824,2018-03-09
KS,TAHA,3/9/18,37.515,130.8118,2018-03-09
KS,TAIA,3/9/18,35.6507,126.9318,2018-03-09
KS,TANB,12/16/16,36.6731,126.1353,2016-12-16
KS,TBA2,12/16/16,37.1224,128.9523,2016-12-16
KS,TEJ2,12/16/16,36.37249,127.371137,2016-12-16
KS,TOHA,5/31/16,37.507,129.1238,2016-05-31
KS,UDO,12/16/16,33.5227,126.9538,2016-12-16
KS,UICA,11/16/23,35.3498,128.6054,2023-11-16
KS,UJBA,3/18/19,37.7548,127.1063,2019-03-18
KS,UJNA,3/18/19,36.9926,129.4135,2019-03-18
KS,ULDR,3/9/18,37.4809,130.8987,2018-03-09
KS,UNCA,3/9/18,35.4695,129.2395,2018-03-09
KS,USN2,5/31/16,35.7024,129.1232,2016-05-31
KS,WAJB,11/29/22,35.937821,127.293127,2022-11-29
KS,WAN2,9/30/15,34.3959,126.7019,2015-09-30
KS,WASA,12/23/24,37.57952,128.8572,2024-12-23
KS,WCHA,12/26/25,38.08369,127.690572,2025-12-26
KS,WICA,3/18/19,35.7312,127.8015,2019-03-18
KS,WNBA,3/18/19,36.8238,126.2572,2019-03-18
KS,YAGA,3/18/19,37.407,127.7569,2019-03-18
KS,YALB,3/9/18,35.7279,128.1934,2018-03-09
KS,YASX,12/26/25,35.38062,129.01658,2025-12-26
KS,YAYA,9/30/15,38.1438,128.6025,2015-09-30
KS,YAYB,3/9/18,38.0255,128.716,2018-03-09
KS,YC2B,3/18/19,38.0398,126.9257,2019-03-18
KS,YCHB,3/18/19,36.6222,128.4373,2019-03-18
KS,YCS4,2/20/20,38.1164,126.9864,2020-02-20
KS,YDEA,12/23/24,36.43552,129.35866,2024-12-23
KS,YEAA,12/26/25,34.816588,126.686275,2025-12-26
KS,YEAB,3/18/19,36.6611,128.8872,2019-03-18
KS,YEGA,3/18/19,35.2837,126.4776,2019-03-18
KS,YEJA,12/26/25,37.205889,127.548958,2025-12-26
KS,YEMA,12/26/25,36.136641,127.090035,2025-12-26
KS,YESA,5/31/16,34.7395,127.7405,2016-05-31
KS,YEYB,5/31/16,36.6251,129.088,2016-05-31
KS,YGAA,3/9/18,35.8532,128.3657,2018-03-09
KS,YGBA,3/18/19,35.7954,129.3865,2019-03-18
KS,YGGA,3/18/19,38.0979,127.9852,2019-03-18
KS,YJDD,12/26/25,37.492732,126.453419,2025-12-26
KS,YKDB,9/30/15,34.6223,128.2734,2015-09-30
KS,YMSA,11/16/23,37.5455,127.6113,2023-11-16
KS,YNDB,9/30/15,34.4323,127.8011,2015-09-30
KS,YOCB,9/30/15,35.9771,128.9511,2015-09-30
KS,YODB,9/30/15,36.5333,129.4096,2015-09-30
KS,YOGA,3/18/19,38.0942,127.2765,2019-03-18
KS,YOJA,10/27/23,35.022225,128.492818,2023-10-27
KS,YOJB,9/30/15,36.872,128.5166,2015-09-30
KS,YOW2,5/31/16,37.1812,128.4569,2016-05-31
KS,YPDB,9/30/15,37.608,125.71,2015-09-30
KS,YSAB,5/31/16,36.742,126.8156,2016-05-31
KS,YSDA,3/18/19,33.9866,126.9205,2019-03-18
KS,YUGA,3/9/18,36.5406,126.9473,2018-03-09
KG,AJD,7/27/11,34.74789,126.12384,2011-07-27
KG,BBK,2/14/95,35.57979,129.43559,1995-02-14
KG,BGD,1/13/99,34.16003,126.55552,1999-01-13
KG,BOG,12/22/17,35.70143,129.20666,2017-12-22
KG,BRN,7/10/16,37.9712,124.6352,2016-07-10
KG,BRS,7/10/16,37.9172,124.69,2016-07-10
KG,CGD,8/14/96,35.60748,128.84267,1996-08-14
KG,CGU,12/22/17,35.8194,129.26982,2017-12-22
KG,CHNB,1/17/01,38.27096,127.1211,2001-01-17
KG,CHS,1/24/96,36.18113,129.08811,1996-01-24
KG,CRB,12/24/19,37.3898,127.9589,2019-12-24
KG,DES,2/7/19,36.14899,129.30649,2019-02-07
KG,DKJ,12/14/94,35.94675,129.10892,1994-12-14
KG,DOKDO,9/28/14,37.2393,131.8696,2014-09-28
KG,DUC,12/22/17,35.74455,129.17576,2017-12-22
KG,GCN,12/22/17,35.81701,129.13627,2017-12-22
KG,GHR,12/23/20,34.4866,126.8994,2020-12-23
KG,GKP2,1/25/19,35.89059,128.60658,2019-01-25
KG,GRE,6/21/96,35.26184,127.44238,1996-06-21
KG,GSU,10/24/00,35.15513,128.09714,2000-10-24
KG,HAK,12/14/94,35.92955,129.50037,1994-12-14
KG,HCH,2/7/19,36.07933,129.30517,2019-02-07
KG,HDB,3/28/00,35.73368,129.39905,2000-03-28
KG,HKU,1/12/01,36.61314,127.35813,2001-01-12
KG,HSB,3/28/02,36.5554,126.63594,2002-03-28
KG,HWSB,11/22/07,34.97682,126.89941,2007-11-22
KG,IBA,12/24/19,35.4617,126.8393,2019-12-24
KG,JJB,1/16/07,33.45151,126.65586,2007-01-16
KG,JRB,4/29/03,35.21289,127.64037,2003-04-29
KG,JSB,6/8/04,37.31748,128.68537,2004-06-08
KG,JUC,2/8/19,36.09242,129.41437,2019-02-08
KG,KIP,2/7/19,37.75836,126.63981,2019-02-07
KG,KJM,1/24/96,34.83362,128.59296,1996-01-24
KG,KMC,3/25/99,35.98692,127.94262,1999-03-25
KG,KNUC,12/24/19,37.8727,127.7427,2019-12-24
KG,KNUD,5/28/14,37.2257,129.0976,2014-05-28
KG,KSA,2/23/99,38.59532,128.3516,1999-02-23
KG,MAK,2/14/95,35.37017,129.17654,1995-02-14
KG,MGB,4/19/05,36.6402,128.2146,2005-04-19
KG,MKL,12/14/94,35.73221,129.24197,1994-12-14
KG,MRD,5/14/15,33.1166,126.26596,2015-05-14
KG,MUN,1/3/97,34.91025,126.42636,1997-01-03
KG,NPR,6/19/02,36.0425,126.86637,2002-06-19
KG,OJR,12/21/20,36.2319,128.8173,2020-12-21
KG,PCH,8/3/96,37.96446,127.13195,1996-08-03
KG,PKNU,2/8/19,35.28302,129.2585,2019-02-08
KG,POHB,6/14/17,36.07778,129.35329,2017-06-14
KG,POSB,2/22/19,36.02558,129.31176,2019-02-22
KG,SIG,2/8/19,35.77083,129.32511,2019-02-08
KG,SND,7/23/99,37.15785,128.79616,1999-07-23
KG,SNU,12/7/98,37.45363,126.95455,1998-12-07
